Norm,Metric,Distance,Env,mean_episode_rewards,val_mean_episode_rewards,run
l1_norm,l2_dist,2.7721056938171387,Train,10,10.0,still-morning-1181
l2_norm,l1_dist,0.7727893590927124,Train,10,10.0,still-morning-1181
l2_norm,l2_dist,1.2454193830490112,Train,10,10.0,still-morning-1181
linf_norm,l1_dist,0.4839087128639221,Train,10,10.0,still-morning-1181
linf_norm,l2_dist,0.678747832775116,Train,10,10.0,still-morning-1181
l1_norm,l1_dist,1.4414608478546143,Valid,10,10.0,still-morning-1181
l1_norm,l2_dist,2.0823323726654053,Valid,10,10.0,still-morning-1181
l2_norm,l1_dist,0.9170404076576233,Valid,10,10.0,still-morning-1181
l2_norm,l2_dist,1.3305944204330444,Valid,10,10.0,still-morning-1181
linf_norm,l1_dist,0.20268654823303223,Valid,10,10.0,still-morning-1181
linf_norm,l2_dist,0.301506370306015,Valid,10,10.0,still-morning-1181
l1_norm,l1_dist,1.567726731300354,Train,10,10.0,fiery-fire-1182
l1_norm,l2_dist,5.457406044006348,Train,10,10.0,fiery-fire-1182
l2_norm,l1_dist,0.782289445400238,Train,10,10.0,fiery-fire-1182
l2_norm,l2_dist,1.3374513387680054,Train,10,10.0,fiery-fire-1182
linf_norm,l1_dist,0.3579491376876831,Train,10,10.0,fiery-fire-1182
linf_norm,l2_dist,0.5144203305244446,Train,10,10.0,fiery-fire-1182
l1_norm,l1_dist,1.3743929862976074,Valid,10,10.0,fiery-fire-1182
l1_norm,l2_dist,1.9846466779708862,Valid,10,10.0,fiery-fire-1182
l2_norm,l1_dist,0.8725465536117554,Valid,10,10.0,fiery-fire-1182
l2_norm,l2_dist,1.2746784687042236,Valid,10,10.0,fiery-fire-1182
linf_norm,l1_dist,0.18488146364688873,Valid,10,10.0,fiery-fire-1182
linf_norm,l2_dist,0.27573415637016296,Valid,10,10.0,fiery-fire-1182
l1_norm,l1_dist,1.1838570833206177,Train,10,10.0,northern-eon-1183
l1_norm,l2_dist,2.7718636989593506,Train,10,10.0,northern-eon-1183
l2_norm,l1_dist,0.7728123068809509,Train,10,10.0,northern-eon-1183
l2_norm,l2_dist,1.2452434301376343,Train,10,10.0,northern-eon-1183
linf_norm,l1_dist,0.47770988941192627,Train,10,10.0,northern-eon-1183
linf_norm,l2_dist,0.6703222990036011,Train,10,10.0,northern-eon-1183
l1_norm,l1_dist,1.4412431716918945,Valid,10,10.0,northern-eon-1183
l1_norm,l2_dist,2.0812485218048096,Valid,10,10.0,northern-eon-1183
l2_norm,l1_dist,0.9165505766868591,Valid,10,10.0,northern-eon-1183
l2_norm,l2_dist,1.3298540115356445,Valid,10,10.0,northern-eon-1183
linf_norm,l1_dist,0.20243118703365326,Valid,10,10.0,northern-eon-1183
linf_norm,l2_dist,0.3010313808917999,Valid,10,10.0,northern-eon-1183
l1_norm,l1_dist,1.5874028205871582,Train,10,3.5,radiant-spaceship-1184
l1_norm,l2_dist,4.389770984649658,Train,10,3.5,radiant-spaceship-1184
l2_norm,l1_dist,0.8311541676521301,Train,10,3.5,radiant-spaceship-1184
l2_norm,l2_dist,1.3512238264083862,Train,10,3.5,radiant-spaceship-1184
linf_norm,l1_dist,0.4395555853843689,Train,10,3.5,radiant-spaceship-1184
linf_norm,l2_dist,0.6191959977149963,Train,10,3.5,radiant-spaceship-1184
l1_norm,l1_dist,1.501979947090149,Valid,10,3.5,radiant-spaceship-1184
l1_norm,l2_dist,2.1886839866638184,Valid,10,3.5,radiant-spaceship-1184
l2_norm,l1_dist,0.9569345116615295,Valid,10,3.5,radiant-spaceship-1184
l2_norm,l2_dist,1.4014021158218384,Valid,10,3.5,radiant-spaceship-1184
linf_norm,l1_dist,0.21121643483638763,Valid,10,3.5,radiant-spaceship-1184
linf_norm,l2_dist,0.316874623298645,Valid,10,3.5,radiant-spaceship-1184
l1_norm,l1_dist,1.5866923332214355,Train,10,3.5,driven-surf-1185
l1_norm,l2_dist,4.3892903327941895,Train,10,3.5,driven-surf-1185
l2_norm,l1_dist,0.8309817314147949,Train,10,3.5,driven-surf-1185
l2_norm,l2_dist,1.3510488271713257,Train,10,3.5,driven-surf-1185
linf_norm,l1_dist,0.44402849674224854,Train,10,3.5,driven-surf-1185
linf_norm,l2_dist,0.6251758933067322,Train,10,3.5,driven-surf-1185
l1_norm,l1_dist,1.5056736469268799,Valid,10,3.5,driven-surf-1185
l1_norm,l2_dist,2.1969685554504395,Valid,10,3.5,driven-surf-1185
l2_norm,l1_dist,0.959519624710083,Valid,10,3.5,driven-surf-1185
l2_norm,l2_dist,1.4074574708938599,Valid,10,3.5,driven-surf-1185
linf_norm,l1_dist,0.21021968126296997,Valid,10,3.5,driven-surf-1185
linf_norm,l2_dist,0.3154623508453369,Valid,10,3.5,driven-surf-1185
l1_norm,l1_dist,1.5870347023010254,Train,10,0.0,sage-paper-1186
l1_norm,l2_dist,4.389382839202881,Train,10,0.0,sage-paper-1186
l2_norm,l1_dist,0.8313037157058716,Train,10,0.0,sage-paper-1186
l2_norm,l2_dist,1.3511189222335815,Train,10,0.0,sage-paper-1186
linf_norm,l1_dist,0.44692426919937134,Train,10,0.0,sage-paper-1186
linf_norm,l2_dist,0.6291890144348145,Train,10,0.0,sage-paper-1186
l1_norm,l1_dist,1.5038282871246338,Valid,10,0.0,sage-paper-1186
l1_norm,l2_dist,2.192822217941284,Valid,10,0.0,sage-paper-1186
l2_norm,l1_dist,0.958172082901001,Valid,10,0.0,sage-paper-1186
l2_norm,l2_dist,1.4043381214141846,Valid,10,0.0,sage-paper-1186
linf_norm,l1_dist,0.21084612607955933,Valid,10,0.0,sage-paper-1186
